ligand,receptor,strip
DLL1,NOTCH1,strip_1
DLL1,NOTCH1,strip_2
DLL1,NOTCH1,strip_3
IGF1,IGF1R,strip_1
IGF1,IGF1R,strip_2
IGF1,IGF1R,strip_3
JAG1,NOTCH1,strip_1
JAG1,NOTCH1,strip_2
JAG1,NOTCH1,strip_3
CXCL16,CXCR6,strip_1
CXCL16,CXCR6,strip_2
CXCL16,CXCR6,strip_3
IGF2,IGF2R,strip_1
IGF2,IGF2R,strip_2
IGF2,IGF2R,strip_3
IGF2,IGF1R,strip_1
IGF2,IGF1R,strip_2
IGF2,IGF1R,strip_3
CXCL9,CXCR3,strip_1
CXCL9,CXCR3,strip_2
CXCL9,CXCR3,strip_3
CCL5,CCR5,strip_1
CCL5,CCR5,strip_2
CCL5,CCR5,strip_3
WNT5A,FZD5,strip_1
WNT5A,FZD5,strip_2
WNT5A,FZD5,strip_3
TNFSF14,LTBR,strip_1
TNFSF14,LTBR,strip_2
TNFSF14,LTBR,strip_3
CD40LG,CD40,strip_1
CD40LG,CD40,strip_2
CD40LG,CD40,strip_3
CXCL10,CXCR3,strip_1
CXCL10,CXCR3,strip_2
CXCL10,CXCR3,strip_3
CSF1,CSF1R,strip_1
CSF1,CSF1R,strip_2
CSF1,CSF1R,strip_3
CSF3,CSF3R,strip_1
CSF3,CSF3R,strip_2
CSF3,CSF3R,strip_3
INS,INSR,strip_1
INS,INSR,strip_2
INS,INSR,strip_3
TNFSF9,TNFRSF9,strip_1
TNFSF9,TNFRSF9,strip_2
TNFSF9,TNFRSF9,strip_3
CD70,CD27,strip_1
CD70,CD27,strip_2
CD70,CD27,strip_3
CD80,CD28,strip_1
CD80,CD28,strip_2
CD80,CD28,strip_3
IL1B,IL1R2,strip_1
IL1B,IL1R2,strip_2
IL1B,IL1R2,strip_3
AREG,EGFR,strip_1
AREG,EGFR,strip_2
AREG,EGFR,strip_3
WNT5A,FZD4,strip_1
WNT5A,FZD4,strip_2
WNT5A,FZD4,strip_3
